ID,Name,Gruppe
101,Ana Bergmann,Manager
102,Max Hoffmann,Aushilfe
103,Lea Schneider,Vollzeit
104,Tom Richter,Aushilfe
105,Nina Wolf,Vollzeit
106,Jan Krüger,Manager
107,Mia Zimmermann,Aushilfe
108,Paul Neumann,Vollzeit
109,Emma Schwarz,Aushilfe
110,Leon Braun,Vollzeit
111,Sophie Vogel,Manager
112,Finn Krause,Aushilfe
113,Hannah Lehmann,Vollzeit
114,Luca Fischer,Aushilfe
115,Marie Köhler,Vollzeit
116,Ben Peters,Aushilfe
117,Laura Huber,Vollzeit
118,Elias Meyer,Manager
119,Julia Franke,Aushilfe
120,David Sommer,Vollzeit
